2017-03-10 14:05:51,439 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: AcquisitionResourceRequisitionSystem:AcquisitionResourceRequisitionSystem:0.0.1-SNAPSHOT @ D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\pom.xml.
2017-03-10 14:05:53,541 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-10 14:05:53,567 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\src\main\resources
2017-03-10 14:05:53,569 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-10 14:05:53,573 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\src\test\resources
2017-03-10 14:05:53,610 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AcquisitionResourceRequisitionSystem/src
2017-03-10 14:05:53,612 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /AcquisitionResourceRequisitionSystem/src/test/java because it overlaps with /AcquisitionResourceRequisitionSystem/src
2017-03-10 14:05:54,003 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-10 14:05:54,276 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: AcquisitionResourceRequisitionSystem:AcquisitionResourceRequisitionSystem:0.0.1-SNAPSHOT @ D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\pom.xml.
2017-03-10 14:05:54,761 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AcquisitionResourceRequisitionSystem/src
2017-03-10 14:05:54,761 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /AcquisitionResourceRequisitionSystem/src/test/java because it overlaps with /AcquisitionResourceRequisitionSystem/src
2017-03-10 14:05:54,972 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for AcquisitionResourceRequisitionSystem
2017-03-10 14:05:54,990 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-03-10 14:05:55,208 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-10 14:05:55,218 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\src\main\resources
2017-03-10 14:05:55,220 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-10 14:05:55,224 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\src\test\resources
2017-03-10 14:05:55,224 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of AcquisitionResourceRequisitionSystem
2017-03-10 14:05:55,225 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for AcquisitionResourceRequisitionSystem
2017-03-10 14:05:55,228 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2017-03-10 14:05:55,235 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-10 14:05:59,120 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-10 14:05:59,129 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\src\main\resources
2017-03-10 14:05:59,130 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-10 14:05:59,137 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Program Files\gitRepo\AcquisitionResourceRequisitionSystem\acquisition-resource-requisition-system\AcquisitionResourceRequisitionSystem\src\test\resources
